Person_ID,DOB,Initial_Name,First_Name,Last_Name,Country_Name,Phone_number,Email,Account_name,Subscription
001,1999-03-21,Ms,Sakshi,Gupta,India,9876532945,sakshig@gmail,Sakshiii Gupta9900,Y
002,1993-04-11,Mr,Alan,Cooper,USA,240-219-0550,CooperAlan@hotmail,CooperA,N
003,1990-11-08,Mr,Yohani,De,Sri Lanka,8797321854,yoohani@yahoo.com,Telly Music,Y
004,2000-04-06,Mrs,Otto,Smith,Germany,7840096538,smithbakery@gmail.com,Smith's Bakery,N
005,1979-08-19,Mrs,Wang,Li,India,7781435789,wangli@gmail.com,Wang's Home ESL,Y
006,1985-05-19,Ms,Neeru,Srikanth,India,5673831214,neeskitchen@gmail.com,Nees Kitchen,N
007,2003-07-18,Mrs,Shivin,Ganesan,India,8769452345,shiving@yahoo.com,SG explore,Y
008,1999-05-19,Mr,Hannah,Pauline,USA,956-260-4620,hannahp@hotmail.com,Hannah's Kitchen,N
009,1995-07-18,Mrs,Lora,Santhakumar,India,7864532103,loras@gmail.com,Lora's Diaries,N
010,2001-04-13,Mr,Sriram ,Saptarishi,India,9840567898,sriramsaptarishi@gmail.com,Sriram Saptarishi,N
011,2000-04-05,Mrs,Gabriel,Lucas,USA,707-537-9647,lucasgab@yahoo.com,Laurant G,Y
012,1996-08-31,Mrs,Santos,Louis,Germany,1776539873,isantosl@gmail.com,Savoir Travels The World,N
013,1967-07-13,Ms,Luiza,Codery,Nepal,2234669876,codreys@hotmail.com,Makeup with Luiza,N
014,1997-12-30,Mrs,Tucker,Budzz,USA,949-266-7542,tuckershome@gmail.com,The Budzyns,Y
015,2004-02-14,Ms,Rohini,Iyer,India,9987356749,rohiniiyer@gmail.com,Iyer Creations,Y
016,1985-03-10,Mrs,Chitra,Murali,India,8756432090,chitramurali34@gmail.com,Chitra Murali's Kitchen,N
017,2002-03-08,Mr,Henry,Victor,USA,314-791-0249,victorhenry@gmail.com,Henry Victor,Y
018,1981-01-01,Mrs,Diana,Wilson,USA,419-463-8122,dianaw@gmail.com,"Diana's ,Makeup Journey",N
019,1985-06-16,Mr,Rick,Steves,USA,904-868-8678,ricksteve@hotmail.com,Rick Steves's Europe,Y
020,1985-09-18,Mrs,Natasha,Wilona,Sri Lanka,3245618906,natashaw@gmail.com,Natasha Wilona,N
021,1823-02-11,Mrs,Marvel,Studios,USA,719-250-0527,marvel@gmail.com,Marvel Studios,Y
022,1923-04-04,Ms,Warner,Bros,USA,928-428-6640,warnerbrosus@yahoo.com,Warner Bros,Y
023,1904-05-21,Mrs,FIFA,,Germany,7677667772,fifaworld@hotmail.com,FIFA ,Y
024,2001-08-27,Mr,Yukthaasri,V,India,7248951683,ykcooking@gmail.com,Yukthaa's Cooking Channel,N
025,1993-12-07,Mrs,Sisan,Baniya,Nepal,6896542398,sisanb@gmail.com,Sisan Baniya,Y
026,1997-11-09,Mr,Chetan,Karki,Nepal,9874560965,chetanvlogs@gmail.com,Chetan Vlogs,N
027,1989-12-08,Mrs,Herr,Antrim,Germany,4321078965,antrimherr@yahoo.in,Learn German with Herr Antrim.,N
